Code figure,Meaning
0,No scene identified
1,Green needle-leafed forest
2,Green broad-leafed forest
3,Deciduous needle-leafed forest
4,Deciduous broad-leafed forest
5,Deciduous mixed forest
6,Closed shrub-land
7,Open shrub-land
8,Woody savannah
9,Savannah
10,Grassland
11,Permanent wetland
12,Cropland
13,Urban
14,Vegetation/crops
15,Permanent snow/ice
16,Barren desert
17,Water bodies
18,Tundra
19,Warm liquid water cloud
20,Supercooled liquid water cloud
21,Mixed-phase cloud
22,Optically thin ice cloud
23,Optically thick ice cloud
24,Multilayered cloud
25–96,Reserved
97,Snow/ice on land
98,Snow/ice on water
99,Sun-glint
100,General cloud
101,Low cloud/fog/Stratus
102,Low cloud/Stratocumulus
103,Low cloud/unknown type
104,Medium cloud/Nimbostratus
105,Medium cloud/Altostratus
106,Medium cloud/unknown type
107,High cloud/Cumulus
108,High cloud/Cirrus
109,High cloud/unknown
110,Unknown cloud type
111,Single Layer Water Cloud
112,Single Layer Ice Cloud
113–191,Reserved
192–254,Reserved for local use
255,Missing
